threads,seq,pipeline,map,pipeline_with_farm,pipeline_with_map,pipeline_with_farm_map
1,51.422295,93.564919,12.536457,89.973794,37.283492,8.579922
2,,,17.377306,16.051557,16.675643,26.034772
3,,,2.178044,2.840096,4.346802,4.382901
4,,,1.386078,3.504825,1.533345,0.716214
5,,,3.062931,5.372623,3.235866,0.586488
6,,,1.906853,1.864954,3.535259,1.070776
7,,,1.810636,1.329846,3.712558,1.203442
8,,,8.232756,3.422508,9.487656,3.268789
9,,,6.278577,8.962516,6.712206,7.906173
10,,,64.637496,3.983584,8.986021,2.953827
11,,,5.715265,5.142216,8.046688,4.319105
12,,,5.641538,8.396070,10.205099,8.218476
13,,,11.307715,2.744713,14.853138,7.525702
14,,,14.603817,9.596608,6.430906,4.412800
15,,,22.038685,5.628181,6.419998,7.463644
16,,,13.259130,5.090421,19.942076,24.422363
